ds,y,wave
2017-09-26 08:43:04,0,FLAT
2017-09-26 12:06:46,2,FLAT
2017-09-26 13:12:05,1,FLAT
2017-09-26 14:17:22,0,FLAT
2017-09-26 15:22:48,1,FLAT
2017-09-26 16:28:07,2,FLAT
2017-09-26 17:33:25,1,FLAT
2017-09-26 18:38:46,2,FLAT
2017-09-26 19:44:09,0,FLAT
2017-09-26 20:49:30,0,FLAT
2017-09-26 21:54:52,0,FLAT
2017-09-26 23:00:10,0,FLAT
2017-09-27 00:05:31,0,FLAT
2017-09-27 01:10:49,0,FLAT
2017-09-27 02:16:09,0,FLAT
2017-09-27 03:21:26,0,FLAT
2017-09-27 04:26:46,0,FLAT
2017-09-27 05:32:04,0,FLAT
2017-09-27 06:37:24,0,FLAT
2017-09-27 07:42:40,0,FLAT
2017-09-27 08:47:57,0,FLAT
2017-09-27 09:53:14,2,FLAT
2017-09-27 10:58:30,0,FLAT
"2017-09-27 12:03:48","0","FLAT"
"2017-09-27 13:09:10","0","FLAT"
