ds,y,wave
2017-09-26 08:41:21,9,POOR TO FAIR
2017-09-26 12:10:17,12,POOR TO FAIR
2017-09-26 13:15:35,9,POOR TO FAIR
2017-09-26 14:20:56,9,POOR TO FAIR
2017-09-26 15:26:19,14,POOR TO FAIR
2017-09-26 16:31:36,17,POOR TO FAIR
2017-09-26 17:36:57,19,POOR TO FAIR
2017-09-26 18:42:19,26,POOR TO FAIR
2017-09-26 19:47:40,0,POOR TO FAIR
2017-09-26 20:53:04,0,POOR TO FAIR
2017-09-26 21:58:21,0,POOR TO FAIR
2017-09-26 23:03:42,0,POOR TO FAIR
2017-09-27 00:09:00,0,POOR TO FAIR
2017-09-27 01:14:21,0,POOR TO FAIR
2017-09-27 02:19:38,0,POOR TO FAIR
2017-09-27 03:24:59,0,POOR TO FAIR
2017-09-27 04:30:16,0,POOR TO FAIR
2017-09-27 05:35:36,0,POOR TO FAIR
2017-09-27 06:40:52,6,POOR TO FAIR
2017-09-27 07:46:08,0,POOR TO FAIR
2017-09-27 08:51:27,9,POOR TO FAIR
2017-09-27 09:56:41,0,POOR TO FAIR
2017-09-27 11:01:59,14,POOR TO FAIR
"2017-09-27 12:07:20","11","POOR TO FAIR"
"2017-09-27 13:12:42","8","POOR TO FAIR"
