ds,y,wave
2017-09-26 08:42:10,9,POOR TO FAIR
2017-09-26 12:11:07,0,POOR TO FAIR
2017-09-26 13:16:26,1,POOR TO FAIR
2017-09-26 14:21:50,4,POOR
2017-09-26 15:27:10,3,POOR
2017-09-26 16:32:27,2,POOR
2017-09-26 17:37:48,6,POOR
2017-09-26 18:43:11,5,POOR
2017-09-26 19:48:33,0,POOR
2017-09-26 20:53:55,0,POOR
2017-09-26 21:59:14,1,POOR
2017-09-26 23:04:34,0,POOR
2017-09-27 00:09:53,0,POOR
2017-09-27 01:15:12,0,POOR
2017-09-27 02:20:29,0,POOR
2017-09-27 03:25:49,0,POOR
2017-09-27 04:31:07,0,POOR
2017-09-27 05:36:27,0,POOR
2017-09-27 06:41:43,6,POOR
2017-09-27 07:46:59,0,POOR
2017-09-27 08:52:17,2,POOR
2017-09-27 09:57:33,0,POOR
2017-09-27 11:02:51,11,POOR
"2017-09-27 12:08:12","4","POOR"
"2017-09-27 13:13:32","1","POOR"
