ds,y,wave
2017-09-26 08:39:40,0,FLAT
2017-09-26 12:08:34,0,FLAT
2017-09-26 13:13:52,0,FLAT
2017-09-26 14:19:13,0,FLAT
2017-09-26 15:24:36,0,FLAT
2017-09-26 16:29:53,0,FLAT
2017-09-26 17:35:13,0,FLAT
2017-09-26 18:40:34,0,FLAT
2017-09-26 19:45:57,0,FLAT
2017-09-26 20:51:18,0,FLAT
2017-09-26 21:56:39,0,FLAT
2017-09-26 23:01:59,0,FLAT
2017-09-27 00:07:19,0,FLAT
2017-09-27 01:12:38,0,FLAT
2017-09-27 02:17:56,0,FLAT
2017-09-27 03:23:14,0,FLAT
2017-09-27 04:28:34,0,FLAT
2017-09-27 05:33:53,0,FLAT
2017-09-27 06:39:10,0,FLAT
2017-09-27 07:44:26,0,FLAT
2017-09-27 08:49:43,0,FLAT
2017-09-27 09:55:00,0,FLAT
2017-09-27 11:00:17,0,FLAT
"2017-09-27 12:05:38","3","FLAT"
"2017-09-27 13:11:00","2","FLAT"
