ds,y,wave
2017-09-26 08:40:30,7,VERY POOR
2017-09-26 12:09:25,24,VERY POOR
2017-09-26 13:14:44,9,VERY POOR
2017-09-26 14:20:05,14,VERY POOR
2017-09-26 15:25:27,8,FLAT
2017-09-26 16:30:44,8,FLAT
2017-09-26 17:36:06,17,FLAT
2017-09-26 18:41:27,10,FLAT
2017-09-26 19:46:48,0,FLAT
2017-09-26 20:52:12,0,FLAT
2017-09-26 21:57:30,0,FLAT
2017-09-26 23:02:50,0,FLAT
2017-09-27 00:08:10,0,FLAT
2017-09-27 01:13:30,0,FLAT
2017-09-27 02:18:47,0,FLAT
2017-09-27 03:24:07,0,FLAT
2017-09-27 04:29:25,0,FLAT
2017-09-27 05:34:46,0,FLAT
2017-09-27 06:40:00,2,FLAT
2017-09-27 07:45:17,13,FLAT
2017-09-27 08:50:35,10,FLAT
2017-09-27 09:55:51,2,FLAT
2017-09-27 11:01:08,1,FLAT
"2017-09-27 12:06:28","19","FLAT"
"2017-09-27 13:11:50","11","POOR"
